WATERBODY_CODE,RDis_IX,RDIS_COND,RVegQ,RVegQc3x15,RVegQc3OE,RVEG_COND,LitCvrQ,LitCvrQc3x15,LitCvrQc3OE,LITCVR_COND,LitRipCvrQ,LitRipCvrQc3x15,LitRipCvrQc3OE,LITRIPCVR_COND
0902BLA0256,0,Good,0.28525,0.252670283,1.128941624,Good,0.332162673,0.141734413,2.343556976,Good,0.308706336,0.198317375,1.556627784,Good
0902MOU0050,0.375,Fair,0.283,0.248508982,1.138791837,Good,0.263305352,0.12862784,2.047032372,Good,0.273152676,0.194753542,1.402555629,Good
0903LEA0093,0.078947368,Good,0.349563187,0.254967466,1.371010948,Good,0.235147319,0.139198497,1.689294959,Good,0.292355253,0.200293289,1.459635792,Good
0903MUD0246,0,Good,0.469458791,0.217646025,2.156983067,Good,0.261204381,0.139135159,1.877342748,Good,0.365331586,0.169634336,2.153641734,Good
0903RAQ0293,0.32078853,Fair,0.375111111,0.262683844,1.427994603,Good,0.149977413,0.097581433,1.536946202,Good,0.262544262,0.20690333,1.268922363,Good
1002ROX5044,0.552777778,Fair,0.223777778,0.204450671,1.094531885,Good,0.267780594,0.130525069,2.051564476,Good,0.267890297,0.158404169,1.691182113,Good
1003BUC0061,0.291666667,Fair,0.371746612,0.25303197,1.469168549,Good,0.113965418,0.135222486,0.842799315,Good,0.242856015,0.198584178,1.222937388,Good
1003FLO0142,0.180555556,Good,0.407541976,0.25406374,1.60409343,Good,0.131887778,0.128749616,1.024374144,Good,0.269714877,0.199521141,1.351811019,Good
1004LCA0270,0.420833333,Fair,0.21625,0.261929763,0.825603007,Good,0.164382743,0.155050311,1.060189702,Good,0.190316371,0.206088176,0.923470598,Good
1004TRO0306,0.382575758,Fair,0.29825,0.260743065,1.14384634,Good,0.283711197,0.152425122,1.861315206,Good,0.290980599,0.205012406,1.419331661,Good
1005HAD0432,0.878787879,Poor,0.18675,0.235352244,0.793491477,Fair,0.049834983,0.12953791,0.384713507,Fair,0.118292492,0.184444226,0.641345595,Fair
1101LON0030,0.396428571,Fair,0.244436813,0.292156639,0.836663557,Good,0.240231741,0.134238544,1.789588391,Good,0.242334277,0.231850654,1.045217139,Good
1104CHA0529,0.349137931,Fair,0.311736264,0.273799121,1.138558308,Good,0.306312479,0.153153481,2.000036026,Good,0.309024371,0.216237264,1.4290986,Good
1104PAR0432,0.445075758,Fair,0.346,0.271851384,1.272754233,Good,0.141194337,0.113974574,1.23882312,Good,0.243597168,0.214496565,1.135669321,Good
1104ROC0424,0,Good,0.3584,0.273945951,1.308287271,Good,0.240144449,0.144433115,1.662668911,Good,0.299272225,0.216254908,1.383886394,Good
1104SAC0314,0.55952381,Fair,0.322248459,0.273588136,1.177859768,Good,0.055911896,0.108642569,0.514640769,Fair,0.189080177,0.216145044,0.874783771,Good
1104THI0626A,0,Good,0.393777778,0.26600369,1.480347048,Good,0.245043925,0.126506465,1.937007131,Good,0.319410851,0.209641659,1.523603906,Good
1202UWB0579,0.214673913,Fair,0.173,0.242755296,0.712651806,Fair,0.142023007,0.16985532,0.836141056,Good,0.157511503,0.190894077,0.825125145,Good
1202UWB5157,0,Good,0.401837577,0.299738503,1.340627158,Good,0.092489358,0.17338764,0.533425322,Fair,0.247163467,0.23845434,1.036523251,Good
1301CEL0166,0.533783784,Fair,0.336662423,0.278777496,1.207638449,Good,0.110038504,0.167767086,0.655900432,Fair,0.223350463,0.221561322,1.008075153,Good
1301SNY0377,0.808467742,Poor,0.10725,0.303714357,0.353127857,Poor,0.083772182,0.137133094,0.61088231,Fair,0.095511091,0.241733399,0.395109203,Poor
1302MAH0053,0.72804878,Fair,0.193883516,0.338536156,0.572711403,Poor,0.073640408,0.118549328,0.621179458,Fair,0.133761962,0.271771743,0.492184951,Poor
1304UWB0352B,0.507575758,Fair,0.3475,0.331951192,1.046840646,Good,0.258492371,0.170428244,1.51672261,Good,0.302996185,0.266081006,1.138736618,Good
1306UWB0597,0.808467742,Poor,0.06325,0.301773315,0.20959441,Poor,0.231240733,0.237101609,0.975281161,Good,0.147245366,0.27935238,0.527095443,Poor
1309UWB6509,0.804878049,Poor,0.26625,0.253845363,1.048866903,Good,0.310696178,0.172564944,1.800459416,Good,0.288473089,0.200261096,1.440484925,Good
1401FOX0192,0.465277778,Fair,0.176,0.316416497,0.5562289,Poor,0.311816616,0.153050555,2.037343917,Good,0.243908308,0.253012141,0.964018198,Good
1401UWB0260,0.4375,Fair,0.181936813,0.255949983,0.710829558,Fair,0.136493758,0.173038116,0.78880747,Good,0.159215286,0.202287923,0.787072618,Fair
1402KIA0044,0.655637255,Fair,0.226,0.2627446,0.860150883,Good,0.215035634,0.133769044,1.607514176,Good,0.220517817,0.208008279,1.060139618,Good
